"","UID","school","eduction_level","education_type","job_title","No_Year_Wor_Experience","YearsWork","work_location","tuition","Blockchain","Cloud_computing","Analytical_reasoning","Artificial_Intelligence","UX_design","Business_analysis","Affiliate_marketing","Sales","Scientific_computing","Video_production","Persuasion","Collaboration","Adaptability","Emotional_Intelligence","Microsoft_Office","Microsoft_Excel","Visual_Basic","Python","R","SQL","Java","Public_Speaking","Cert_Amazon_Web_Services_Essential_Training","Cert_Scrum_Basics","Cert_Time_Management_Fundamentals","Cert_Online_Marketing_Foundations","Cert_Project_Management_Foundations","Cert_Body_Language_for_Leaders","Cert_Excel_Essential_Training","Cert_AWS_Certified_Advanced_Networking","Cert_Programming_Foundations","Cert_Project_Management_Professional","Cert_Git_Essential_Training","Cert_Microsoft_Certified__Azure_Fundamentals","Cert_Developing_Executive_Presence","Cert_Online_Marketing_Foundations.1","Cert_Strategic_Thinking","Count","Mergecol","title","Location","numbersofjob","jobgrowth","salary","salarygrowth"
"158",158,"HEC Montryal","Doctoral","Public administration and social service professions","Railway Traffic Controller",10,"10 years","Yukon",62500,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,"Railway Traffic Controller Yukon","Railway Traffic Controller","Yukon",3700,16.12,84250,-2.36
"159",159,"Native Education College","Associate","French language and literature/letters","Restaurant and Food Service Manager",6,"6 years","Yukon",58000,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,"Restaurant and Food Service Manager Yukon","Restaurant and Food Service Manager","Yukon",15100,3.8,126250,6.44
"160",160,"Simon Fraser University","Bachelor's","Social Sciences","Database Analyst",5,"5 years","Newfoundland and Labrador",46000,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,"Database Analyst Newfoundland and Labrador","Database Analyst","Newfoundland and Labrador",80900,-3.24,61750,-3.24
"161",161,"McMaster University","Doctoral","Science technologies/technicians","Insurance Manager",5,"5 years","Newfoundland and Labrador",60500,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,"Insurance Manager Newfoundland and Labrador","Insurance Manager","Newfoundland and Labrador",40700,17,121750,9.08
"162",162,"Vancouver Island University","Doctoral","Aboriginal and foreign languages, literatures and linguistics","Business Development Officer",6,"6 years","Northwest Territories",79500,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,"Business Development Officer Northwest Territories","Business Development Officer","Northwest Territories",43700,-2.36,106750,18.76
"163",163,"Brock University","Doctoral","Health professions and related programs","Purchasing Manager",8,"8 years","Nova Scotia",21500,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,"Purchasing Manager Nova Scotia","Purchasing Manager","Nova Scotia",95900,-0.6,95800,15.24
"164",164,"Cygep de la Gaspysie et des Îles","Associate","Personal and culinary services","Electrical Engineer",8,"8 years","Quebec",72000,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,"Electrical Engineer Quebec","Electrical Engineer","Quebec",32700,9.96,121375,1.16
"165",165,"Vancouver Institute of Media Arts","Bachelor's","Military technologies and applied Sciences","Postal and Courier Services Manager",7,"7 years","Nova Scotia",73000,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,"Postal and Courier Services Manager Nova Scotia","Postal and Courier Services Manager","Nova Scotia",79900,-4.12,68125,-3.24
"166",166,"University of Toronto","Associate","Psychology","Construction Manager",1,"1 years","Newfoundland and Labrador",74500,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,"Construction Manager Newfoundland and Labrador","Construction Manager","Newfoundland and Labrador",39700,14.36,96025,18.76
"167",167,"Vancouver Institute of Media Arts","Bachelor's","Military technologies and applied Sciences","Human Resources Manager",4,"4 years","Northwest Territories",60000,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,"Human Resources Manager Northwest Territories","Human Resources Manager","Northwest Territories",60100,17.88,40450,18.76
"168",168,"University of Waterloo","Master's","English language and literature/letters","Database Analyst",3,"3 years","Yukon",28000,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,"Database Analyst Yukon","Database Analyst","Yukon",36900,2.04,129325,17
"169",169,"University de Sherbrooke","Master's","Science technologies/technicians","Statistician",2,"2 years","Nunavut",56000,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,"Statistician Nunavut","Statistician","Nunavut",9300,13.48,42025,2.92
"170",170,"Carleton University","Associate","Liberal arts and sciences, general studies and humanities","Medical Radiation Technologist",2,"2 years","Saskatchewan",45000,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,"Medical Radiation Technologist Saskatchewan","Medical Radiation Technologist","Saskatchewan",43700,0.28,45550,12.6
"171",171,"New Brunswick Bible Institute","Master's","Visual and performing arts","Real Estate Agent",9,"9 years","British Columbia",75500,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,"Real Estate Agent British Columbia","Real Estate Agent","British Columbia",40300,16.12,105925,8.2
"172",172,"University of Alberta","Associate","Computer and information Sciences and support services","Publiching Manager",6,"6 years","British Columbia",65500,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,"Publiching Manager British Columbia","Publiching Manager","British Columbia",23300,6.44,78175,-3.24
"173",173,"Dalhousie University","Doctoral","Business, management, marketing and related support services","Economic Policy Researcher",10,"10 years","Northwest Territories",32000,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,"Economic Policy Researcher Northwest Territories","Economic Policy Researcher","Northwest Territories",73500,3.8,55900,12.6
"174",174,"Concordia University","Master's","Education","Restaurant and Food Service Manager",9,"9 years","Yukon",41500,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,"Restaurant and Food Service Manager Yukon","Restaurant and Food Service Manager","Yukon",15100,3.8,126250,6.44
"175",175,"Huron University College","Master's","Philosophy and religious studies","Economic Policy Researcher",5,"5 years","Prince Edward Island",31000,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,"Economic Policy Researcher Prince Edward Island","Economic Policy Researcher","Prince Edward Island",19900,6.44,124525,14.36
"176",176,"Victoria University","Doctoral","Military Science, leadership and operational art","Financial Sales Representative",5,"5 years","Newfoundland and Labrador",76500,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,"Financial Sales Representative Newfoundland and Labrador","Financial Sales Representative","Newfoundland and Labrador",44100,-1.48,69025,17.88
"177",177,"New Brunswick Bible Institute","Doctoral","Social Sciences","Senior Communication Manager",7,"7 years","Newfoundland and Labrador",78500,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,"Senior Communication Manager Newfoundland and Labrador","Senior Communication Manager","Newfoundland and Labrador",45700,9.96,57625,-1.48
"178",178,"University of Alberta","Master's","Business, management, marketing and related support services","Corporate Sales Manager",4,"4 years","Nunavut",78000,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,"Corporate Sales Manager Nunavut","Corporate Sales Manager","Nunavut",65300,15.24,132925,12.6
"179",179,"Carleton University","Master's","Library Science","Dietitian",8,"8 years","Ontario",63500,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,"Dietitian Ontario","Dietitian","Ontario",5900,13.48,132025,11.72
"180",180,"Vancouver Island University","Associate","Psychology","Terminologist",8,"8 years","Newfoundland and Labrador",71000,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,"Terminologist Newfoundland and Labrador","Terminologist","Newfoundland and Labrador",39900,-4.12,111625,11.72
"181",181,"Brock University","Doctoral","Education","Senior Communication Manager",4,"4 years","Nunavut",65000,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,"Senior Communication Manager Nunavut","Senior Communication Manager","Nunavut",58100,15.24,130825,17.88
"182",182,"New Brunswick Bible Institute","Bachelor's","Agriculture, agriculture operations and related Sciences","Mechanical Engineer",4,"4 years","Nunavut",30500,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,"Mechanical Engineer Nunavut","Mechanical Engineer","Nunavut",11900,11.72,68575,13.48
"183",183,"University of Windsor","Doctoral","Security and protective services","Mathematician",8,"8 years","Prince Edward Island",63000,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,"Mathematician Prince Edward Island","Mathematician","Prince Edward Island",51900,-1.48,132700,9.08
"184",184,"Cygep de Saint-Hyacinthe","Master's","Aboriginal and foreign languages, literatures and linguistics","Library and Public Archive Technician",6,"6 years","Ontario",21500,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,"Library and Public Archive Technician Ontario","Library and Public Archive Technician","Ontario",95100,6.44,64225,-4.12
"185",185,"University of Waterloo","Associate","Legal professions and studies","Retail and Wholesale Trade Manager",7,"7 years","Alberta",48500,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,"Retail and Wholesale Trade Manager Alberta","Retail and Wholesale Trade Manager","Alberta",16900,17.88,146125,12.6
"186",186,"Brescia University College","Associate","Multidisciplinary/interdisciplinary studies","Interactive Media Developer",5,"5 years","Nunavut",55000,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,"Interactive Media Developer Nunavut","Interactive Media Developer","Nunavut",73900,11.72,118600,7.32
"187",187,"University of Alberta","Doctoral","History","Senior Service Manager",6,"6 years","Alberta",23000,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,"Senior Service Manager Alberta","Senior Service Manager","Alberta",13500,-1.48,112525,1.16
"188",188,"University of Guelph","Doctoral","Computer and information Sciences and support services","Community Manager",2,"2 years","New Brunswick",41500,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,"Community Manager New Brunswick","Community Manager","New Brunswick",16700,-4.12,123925,9.08
"189",189,"Huron University College","Bachelor's","Precision production","Financial Sales Representative",9,"9 years","Northwest Territories",49500,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,"Financial Sales Representative Northwest Territories","Financial Sales Representative","Northwest Territories",5100,6.44,44275,1.16
"190",190,"McMaster University","Bachelor's","Health professions and related programs","Postal and Courier Services Manager",2,"2 years","Nunavut",29500,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,"Postal and Courier Services Manager Nunavut","Postal and Courier Services Manager","Nunavut",86100,-0.6,125875,3.8
"191",191,"New Brunswick Bible Institute","Associate","Communications technologies/technicians and support services","Health Care Manager",1,"1 years","Nova Scotia",63000,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,"Health Care Manager Nova Scotia","Health Care Manager","Nova Scotia",80300,17.88,44650,-1.48
"192",192,"HEC Montryal","Master's","Military technologies and applied Sciences","Dietitian",2,"2 years","Northwest Territories",58000,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,"Dietitian Northwest Territories","Dietitian","Northwest Territories",3700,-3.24,97300,13.48
"193",193,"University of Windsor","Associate","Agriculture, agriculture operations and related Sciences","Psychologist",5,"5 years","Prince Edward Island",23500,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,"Psychologist Prince Edward Island","Psychologist","Prince Edward Island",76900,10.84,129250,18.76
"194",194,"Victoria University","Doctoral","Security and protective services","Marine Traffic Regulators",4,"4 years","New Brunswick",80000,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,"Marine Traffic Regulators New Brunswick","Marine Traffic Regulators","New Brunswick",16900,9.08,102325,7.32
"195",195,"Cygep de la Gaspysie et des Îles","Associate","Science technologies/technicians","Terminologist",1,"1 years","Alberta",31000,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,"Terminologist Alberta","Terminologist","Alberta",19900,1.16,96550,15.24
"196",196,"University du Quybec à Rimouski (UQAR)","Doctoral","Aboriginal and foreign languages, literatures and linguistics","Mathematician",7,"7 years","Quebec",47000,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,"Mathematician Quebec","Mathematician","Quebec",5700,16.12,101200,7.32
"197",197,"Simon Fraser University","Bachelor's","Liberal arts and sciences, general studies and humanities","Insurance Manager",5,"5 years","Ontario",71500,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,"Insurance Manager Ontario","Insurance Manager","Ontario",43500,-1.48,146950,6.44
"198",198,"Wilfrid Laurier University","Associate","Library Science","Human Resources Manager",10,"10 years","Quebec",40000,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,"Human Resources Manager Quebec","Human Resources Manager","Quebec",93300,-0.6,55000,-5
"199",199,"Victoria University","Master's","Biological and biomedical Sciences","Retail and Wholesale Trade Manager",5,"5 years","Nunavut",22500,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,"Retail and Wholesale Trade Manager Nunavut","Retail and Wholesale Trade Manager","Nunavut",48100,11.72,68425,14.36
"200",200,"Niagara College","Bachelor's","Precision production","Oceanographers",10,"10 years","Ontario",21500,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,"Oceanographers Ontario","Oceanographers","Ontario",28100,19.64,145300,13.48
"201",201,"University du Quybec à Rimouski (UQAR)","Bachelor's","Area, ethnic, cultural, gender, and group studies","Financial Sales Representative",5,"5 years","Quebec",33500,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,"Financial Sales Representative Quebec","Financial Sales Representative","Quebec",96900,9.96,63400,9.96
"202",202,"New Brunswick Bible Institute","Bachelor's","Mechanic and repair technologies/technicians","Meteorologist",8,"8 years","Nova Scotia",30000,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,"Meteorologist Nova Scotia","Meteorologist","Nova Scotia",73900,17.88,90625,6.44
"203",203,"HEC Montryal","Master's","Social Sciences","Corporate Sales Manager",8,"8 years","Quebec",70500,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,"Corporate Sales Manager Quebec","Corporate Sales Manager","Quebec",84100,10.84,68275,3.8
"204",204,"Niagara College","Associate","Personal and culinary services","Human Resources Manager",5,"5 years","New Brunswick",40500,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,"Human Resources Manager New Brunswick","Human Resources Manager","New Brunswick",87300,-3.24,142825,17
"205",205,"Cygep de Saint-Laurent","Bachelor's","Theology and religious vocations","Manufacturing Manager",5,"5 years","Nova Scotia",42500,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,"Manufacturing Manager Nova Scotia","Manufacturing Manager","Nova Scotia",87900,12.6,66400,17
"206",206,"Vancouver Institute of Media Arts","Associate","Theology and religious vocations","Marketing researcher",1,"1 years","Saskatchewan",42000,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,"Marketing researcher Saskatchewan","Marketing researcher","Saskatchewan",41100,-2.36,106300,9.96
"207",207,"University of Western Ontario","Master's","Engineering technologies and engineering-related fields","Nutritionist",8,"8 years","Saskatchewan",37000,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,"Nutritionist Saskatchewan","Nutritionist","Saskatchewan",83500,6.44,65500,11.72
"208",208,"Wilfrid Laurier University","Associate","Agriculture, agriculture operations and related Sciences","Library and Public Archive Technician",6,"6 years","Prince Edward Island",51000,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,"Library and Public Archive Technician Prince Edward Island","Library and Public Archive Technician","Prince Edward Island",74100,10.84,75700,1.16
"209",209,"University of Alberta","Doctoral","History","Nutritionist",7,"7 years","Nova Scotia",68500,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,"Nutritionist Nova Scotia","Nutritionist","Nova Scotia",56500,7.32,93025,-3.24
"210",210,"McMaster University","Master's","Theology and religious vocations","Publiching Manager",4,"4 years","Nunavut",53000,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,"Publiching Manager Nunavut","Publiching Manager","Nunavut",26700,1.16,76300,5.56
"211",211,"Vancouver Island University","Doctoral","Engineering technologies and engineering-related fields","Terminologist",1,"1 years","Northwest Territories",24000,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,"Terminologist Northwest Territories","Terminologist","Northwest Territories",11700,-4.12,139675,12.6
"212",212,"University of Guelph","Doctoral","Philosophy and religious studies","Health Care Manager",6,"6 years","New Brunswick",23500,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,"Health Care Manager New Brunswick","Health Care Manager","New Brunswick",81100,19.64,124450,19.64
"213",213,"University of Guelph","Bachelor's","Health professions and related programs","Postal and Courier Services Manager",6,"6 years","Alberta",68500,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,"Postal and Courier Services Manager Alberta","Postal and Courier Services Manager","Alberta",91900,11.72,143125,13.48
"214",214,"Simon Fraser University","Associate","Visual and performing arts","Restaurant and Food Service Manager",10,"10 years","Ontario",72500,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,"Restaurant and Food Service Manager Ontario","Restaurant and Food Service Manager","Ontario",23900,-4.12,136975,2.04
"215",215,"Brock University","Doctoral","Precision production","Real Estate Agent",5,"5 years","Nova Scotia",45500,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,"Real Estate Agent Nova Scotia","Real Estate Agent","Nova Scotia",31700,17,129250,-1.48
"216",216,"Brescia University College","Master's","Transportation and materials moving","Architecture and Science Manager",10,"10 years","Nunavut",34500,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,"Architecture and Science Manager Nunavut","Architecture and Science Manager","Nunavut",47500,16.12,43075,0.28
"217",217,"Vancouver Institute of Media Arts","Bachelor's","Security and protective services","Natural Resources Manager",6,"6 years","New Brunswick",70500,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,"Natural Resources Manager New Brunswick","Natural Resources Manager","New Brunswick",22300,19.64,136675,-1.48
"218",218,"College of the New Caledonia","Doctoral","Personal and culinary services","Data Administrator",7,"7 years","Manitoba",75000,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,"Data Administrator Manitoba","Data Administrator","Manitoba",99700,1.16,141850,17
"219",219,"Queen's University","Associate","Architecture and related services","Natural Resources Manager",3,"3 years","Newfoundland and Labrador",63000,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,"Natural Resources Manager Newfoundland and Labrador","Natural Resources Manager","Newfoundland and Labrador",6500,17,42550,13.48
"220",220,"Vancouver Institute of Media Arts","Associate","French language and literature/letters","Statistician",1,"1 years","Quebec",23500,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,"Statistician Quebec","Statistician","Quebec",97700,1.16,88975,2.92
"221",221,"Simon Fraser University","Doctoral","Philosophy and religious studies","Human Resources Manager",8,"8 years","Saskatchewan",32000,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,"Human Resources Manager Saskatchewan","Human Resources Manager","Saskatchewan",84100,2.92,68950,11.72
"222",222,"University of Toronto","Bachelor's","Dental, medical and veterinary residency programs","Marketing researcher",3,"3 years","Nova Scotia",75500,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,"Marketing researcher Nova Scotia","Marketing researcher","Nova Scotia",75100,-2.36,41875,-2.36
"223",223,"College of the New Caledonia","Bachelor's","Communication, journalism and related programs","Accommodation Service Manager",2,"2 years","Saskatchewan",37500,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,"Accommodation Service Manager Saskatchewan","Accommodation Service Manager","Saskatchewan",61100,13.48,59725,15.24
"224",224,"University of Alberta","Associate","Military Science, leadership and operational art","Civil Engineer",8,"8 years","Prince Edward Island",77500,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,"Civil Engineer Prince Edward Island","Civil Engineer","Prince Edward Island",7900,19.64,50800,13.48
"225",225,"Brock University","Bachelor's","Engineering technologies and engineering-related fields","Real Estate Agent",6,"6 years","Nunavut",46000,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,"Real Estate Agent Nunavut","Real Estate Agent","Nunavut",54500,2.04,54325,1.16
"226",226,"Vancouver Institute of Media Arts","Associate","Engineering","Accommodation Service Manager",4,"4 years","Nunavut",44000,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,"Accommodation Service Manager Nunavut","Accommodation Service Manager","Nunavut",30100,16.12,110500,0.28
"227",227,"University of Windsor","Master's","Mechanic and repair technologies/technicians","Facility Operation and Maintenance Manager",2,"2 years","Nunavut",58000,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,"Facility Operation and Maintenance Manager Nunavut","Facility Operation and Maintenance Manager","Nunavut",26100,18.76,129700,-4.12
"228",228,"New Brunswick Bible Institute","Associate","Psychology","Film and Video Camera Operator",1,"1 years","Ontario",63500,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,"Film and Video Camera Operator Ontario","Film and Video Camera Operator","Ontario",91100,7.32,55750,12.6
"229",229,"Native Education College","Master's","Natural resources and conservation","Information Systems Analyst",3,"3 years","Nova Scotia",64500,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,"Information Systems Analyst Nova Scotia","Information Systems Analyst","Nova Scotia",40100,0.28,130900,-3.24
"230",230,"Saint Mary's University","Bachelor's","Military technologies and applied Sciences","Meteorologist",1,"1 years","British Columbia",49000,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,"Meteorologist British Columbia","Meteorologist","British Columbia",93700,14.36,66775,9.96
"231",231,"New Brunswick Bible Institute","Associate","Dental, medical and veterinary residency programs","Marketing Manager",1,"1 years","Ontario",52500,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,"Marketing Manager Ontario","Marketing Manager","Ontario",49300,15.24,83500,19.64
