UID,school,eduction_level,education_type,job_title,No_Year_Wor_Experience,YearsWork,work_location,tuition,Blockchain,Cloud_computing,Analytical_reasoning,Artificial_Intelligence,UX_design,Business_analysis,Affiliate_marketing,Sales,Scientific_computing,Video_production,Persuasion,Collaboration,Adaptability,Emotional_Intelligence,Microsoft_Office,Microsoft_Excel,Visual_Basic,Python,R,SQL,Java,Public_Speaking,Cert_Amazon_Web_Services_Essential_Training,Cert_Scrum_Basics,Cert_Time_Management_Fundamentals,Cert_Online_Marketing_Foundations,Cert_Project_Management_Foundations,Cert_Body_Language_for_Leaders,Cert_Excel_Essential_Training,Cert_AWS_Certified_Advanced_Networking,Cert_Programming_Foundations,Cert_Project_Management_Professional,Cert_Git_Essential_Training,Cert_Microsoft_Certified__Azure_Fundamentals,Cert_Developing_Executive_Presence,Cert_Online_Marketing_Foundations.1,Cert_Strategic_Thinking,Count,numbersofjob,jobgrowth,salary,salarygrowth
570,Simon Fraser University,Doctoral,Engineering,Construction Manager,6,6 years,Newfoundland and Labrador,38000,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,39700,14.36,96025,18.76
571,Carleton University,Master's,"Liberal arts and sciences, general studies and humanities",Library Manager,3,3 years,Nunavut,66000,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,81300,-0.6,104725,-1.48
572,Niagara College,Master's,Mechanic and repair technologies/technicians,Railway Traffic Controller,1,1 years,Alberta,70500,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,86100,-4.12,116425,11.72
573,University de Sherbrooke,Master's,"Liberal arts and sciences, general studies and humanities",Nutritionist,1,1 years,Saskatchewan,77000,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,83500,6.44,65500,11.72
574,University of Waterloo,Doctoral,Library Science,Library and Public Archive Technician,6,6 years,Ontario,80000,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,95100,6.44,64225,-4.12
575,Brock University,Associate,Biological and biomedical Sciences,Data Administrator,3,3 years,Yukon,76000,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,87300,13.48,103975,-5
576,University of Alberta,Bachelor's,"Military Science, leadership and operational art",Postal and Courier Services Manager,8,8 years,Quebec,34500,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,11700,9.96,146200,6.44
577,Victoria University,Associate,Legal professions and studies,Statistician,4,4 years,New Brunswick,71500,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,46100,12.6,59950,5.56
578,Huron University College,Master's,"Area, ethnic, cultural, gender, and group studies",Construction Manager,3,3 years,Manitoba,79500,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,36100,10.84,132625,14.36
579,College of the New Caledonia,Associate,Construction trades,Geoscientist,10,10 years,New Brunswick,50000,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,60100,6.44,85825,7.32
580,New Brunswick Bible Institute,Master's,Natural resources and conservation,Pharmacist,10,10 years,New Brunswick,51000,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,23900,11.72,41500,-3.24
581,Vancouver Institute of Media Arts,Bachelor's,"Communication, journalism and related programs",Marine Traffic Regulators,2,2 years,Ontario,35500,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,56900,17.88,109000,12.6
582,Simon Fraser University,Master's,"Liberal arts and sciences, general studies and humanities",Climatologists,5,5 years,New Brunswick,34000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,61700,-5,44200,-4.12
583,Ryerson University,Bachelor's,Library Science,Translator,3,3 years,Nova Scotia,54000,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,62900,6.44,85075,6.44
584,Native Education College,Master's,Architecture and related services,Engineering Manager,1,1 years,Ontario,76500,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,76300,18.76,42175,14.36
585,Ryerson University,Bachelor's,Architecture and related services,Program Administration Manager,9,9 years,Manitoba,37500,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,19700,17.88,106375,1.16
586,Carleton University,Associate,Military technologies and applied Sciences,Electrical Engineer,4,4 years,Nova Scotia,48000,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,90700,-0.6,52675,-2.36
587,Cygep de Saint-Laurent,Bachelor's,"Military Science, leadership and operational art",Educational Counsellor,2,2 years,Prince Edward Island,70500,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,65300,1.16,148450,13.48
588,Concordia University,Bachelor's,History,Natural Resources Manager,3,3 years,Newfoundland and Labrador,57500,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,6500,17,42550,13.48
589,Vancouver Island University,Bachelor's,"Business, management, marketing and related support services",Educational Counsellor,6,6 years,Ontario,25000,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,27900,1.16,77500,14.36
590,University of Guelph,Doctoral,Social Sciences,Electrical Engineer,9,9 years,Northwest Territories,69500,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,6700,2.92,140050,16.12
591,University du Quybec à Rimouski (UQAR),Bachelor's,"Communication, journalism and related programs",Construction Manager,8,8 years,Newfoundland and Labrador,38500,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,39700,14.36,96025,18.76
592,Niagara College,Master's,Precision production,Senior Government Official,9,9 years,Quebec,69500,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,85900,9.08,137125,6.44
593,Victoria University,Master's,French language and literature/letters,Transportation Manager,2,2 years,New Brunswick,49500,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,34100,0.28,89125,-4.12
594,York University,Doctoral,Public administration and social service professions,Data Administrator,6,6 years,New Brunswick,47500,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,78500,-4.12,66775,17.88
595,University of Toronto,Doctoral,Education,Information Systems Analyst,5,5 years,Manitoba,32500,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,62900,8.2,144550,-5
596,University of Windsor,Master's,Visual and performing arts,Educational Counsellor,10,10 years,Yukon,47500,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,64300,19.64,97675,4.68
597,University of Toronto,Doctoral,Personal and culinary services,Construction Manager,8,8 years,Nunavut,73000,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,64900,9.08,47725,9.08
598,Queen's University,Associate,Philosophy and religious studies,Business Development Officer,8,8 years,Nunavut,22500,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,26700,17,130450,9.08
599,HEC Montryal,Master's,Transportation and materials moving,Telecommunication Manager,5,5 years,Quebec,44500,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,87100,3.8,62050,1.16
600,Simon Fraser University,Master's,"Parks, recreation, leisure and fitness studies",Database Analyst,10,10 years,Nunavut,64000,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,67700,15.24,134650,15.24
601,Vancouver Island University,Associate,Personal and culinary services,Psychologist,6,6 years,Yukon,25500,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,66300,2.04,80425,7.32
602,New Brunswick Bible Institute,Master's,Communications technologies/technicians and support services,Computer Programmer,1,1 years,Yukon,66500,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,98700,9.96,132325,18.76
603,University of Guelph,Bachelor's,Transportation and materials moving,Publiching Manager,8,8 years,Northwest Territories,71000,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,19500,12.6,138175,11.72
604,University du Quybec à Rimouski (UQAR),Associate,"Liberal arts and sciences, general studies and humanities",Restaurant and Food Service Manager,1,1 years,Northwest Territories,44500,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,75500,14.36,71725,9.96
605,Concordia University,Master's,Precision production,Library and Public Archive Technician,1,1 years,British Columbia,24500,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,43500,7.32,127300,14.36
606,Niagara College,Bachelor's,Mathematics and statistics,Computer Programmer,4,4 years,Northwest Territories,23000,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,19700,-5,100450,-1.48
607,Carleton University,Doctoral,Visual and performing arts,Civil Engineer,6,6 years,Yukon,47000,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,80900,3.8,102100,10.84
608,Cygep de Saint-Laurent,Associate,History,Nutritionist,2,2 years,Newfoundland and Labrador,30500,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,27900,-1.48,79975,8.2
609,Vancouver Island University,Master's,Mechanic and repair technologies/technicians,Database Analyst,2,2 years,Nunavut,35500,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,67700,15.24,134650,15.24
610,York University,Associate,Natural resources and conservation,Actuary,10,10 years,Nova Scotia,58500,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,96100,10.84,126400,5.56
611,University de Sherbrooke,Associate,Philosophy and religious studies,Program Administration Manager,2,2 years,British Columbia,48500,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,56700,1.16,118075,10.84
612,University de Montryal,Doctoral,"Business, management, marketing and related support services",Insurance Manager,5,5 years,Manitoba,57000,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,14900,2.04,108700,4.68
613,"University de Guelph, Campus d'Alfred",Bachelor's,Health professions and related programs,Data Administrator,5,5 years,New Brunswick,49000,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,78500,-4.12,66775,17.88
614,New Brunswick Bible Institute,Bachelor's,Health professions and related programs,Facility Operation and Maintenance Manager,6,6 years,Manitoba,52500,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,21100,17,126025,13.48
615,Cygep de Saint-Hyacinthe,Associate,Architecture and related services,Senior Communication Manager,8,8 years,Yukon,29000,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,28300,-0.6,49225,9.96
616,"University de Guelph, Campus d'Alfred",Master's,History,Senior Service Manager,4,4 years,British Columbia,33500,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,77900,9.08,49825,10.84
617,Carleton University,Doctoral,Science technologies/technicians,Home Building and Renovation Manager,5,5 years,Saskatchewan,77000,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,30500,9.96,48325,11.72
618,University of Alberta,Master's,Public administration and social service professions,Interactive Media Developer,9,9 years,Nunavut,30500,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,73900,11.72,118600,7.32
619,Ryerson University,Doctoral,Physical Sciences,Meteorologist,1,1 years,Manitoba,41500,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,23700,5.56,109300,9.96
620,Brock University,Doctoral,Engineering,Economist,3,3 years,Quebec,57000,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,59900,10.84,82150,11.72
621,Vancouver Island University,Bachelor's,Multidisciplinary/interdisciplinary studies,Geoscientist,5,5 years,Quebec,51000,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,27500,-2.36,147700,-2.36
622,Cygep de la Gaspysie et des Îles,Doctoral,Legal professions and studies,Civil Engineer,8,8 years,Northwest Territories,58000,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,8500,18.76,75400,3.8
623,HEC Montryal,Master's,Biological and biomedical Sciences,Employment Counsellor,8,8 years,Ontario,37000,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,26900,16.12,63700,10.84
624,College of the New Caledonia,Doctoral,Science technologies/technicians,Natural Resources Manager,2,2 years,New Brunswick,76000,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,22300,19.64,136675,-1.48
625,Ryerson University,Associate,Mathematics and statistics,Library and Public Archive Technician,2,2 years,Saskatchewan,45500,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,93100,2.04,76000,16.12
626,HEC Montryal,Associate,Architecture and related services,Translator,5,5 years,British Columbia,37500,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,90100,8.2,131875,9.08
627,Carleton University,Bachelor's,Multidisciplinary/interdisciplinary studies,Restaurant and Food Service Manager,8,8 years,New Brunswick,22500,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,14500,11.72,66625,5.56
628,Cygep de la Gaspysie et des Îles,Doctoral,"Area, ethnic, cultural, gender, and group studies",Health Care Manager,8,8 years,Alberta,25500,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,26900,2.92,123850,15.24
629,Brescia University College,Master's,Physical Sciences,Marine Traffic Regulators,7,7 years,Nunavut,63500,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,99500,-4.12,79300,8.2
630,Dalhousie University,Bachelor's,English language and literature/letters,Purchasing Manager,3,3 years,Nova Scotia,33000,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,95900,-0.6,95800,15.24
631,Vancouver Island University,Doctoral,English language and literature/letters,Computer Programmer,3,3 years,Prince Edward Island,31500,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,95700,9.96,91075,-5
632,Niagara College,Bachelor's,Personal and culinary services,Economic Policy Researcher,1,1 years,British Columbia,28500,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,29300,-0.6,111100,-5
633,Victoria University,Bachelor's,Psychology,Investment Manager,5,5 years,Prince Edward Island,75500,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,63300,11.72,118600,16.12
634,Simon Fraser University,Master's,History,Economic Policy Researcher,6,6 years,British Columbia,51000,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,29300,-0.6,111100,-5
635,University of Waterloo,Associate,Precision production,Library Manager,3,3 years,Yukon,55000,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,4300,2.92,81175,17.88
636,New Brunswick Bible Institute,Associate,Philosophy and religious studies,Insurance Manager,10,10 years,Manitoba,66000,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,14900,2.04,108700,4.68
637,Carleton University,Master's,Construction trades,Investment Manager,1,1 years,Alberta,61000,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,13700,7.32,54100,9.08
638,University of Toronto,Doctoral,Natural resources and conservation,Accommodation Service Manager,5,5 years,Nova Scotia,61000,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,50300,15.24,102025,-1.48
639,Victoria University,Bachelor's,Construction trades,Senior Construction Manager,8,8 years,Manitoba,75000,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,48900,2.04,60175,13.48
640,University de Montryal,Bachelor's,Mathematics and statistics,Film and Video Camera Operator,4,4 years,Quebec,32000,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,37900,9.08,131800,12.6
641,Brescia University College,Bachelor's,Biological and biomedical Sciences,Investment Manager,5,5 years,Prince Edward Island,33500,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,63300,11.72,118600,16.12
642,Queen's University,Doctoral,Security and protective services,Senior Government Official,6,6 years,Northwest Territories,35500,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,22500,3.8,82675,16.12
643,University de Montryal,Doctoral,Security and protective services,Marketing Manager,4,4 years,Alberta,64500,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,35100,1.16,96775,2.04
644,University de Sherbrooke,Associate,Engineering technologies and engineering-related fields,Human Resources Manager,4,4 years,Manitoba,54000,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,98900,6.44,108925,-4.12
645,Saint Mary's University,Bachelor's,Engineering,Senior Construction Manager,7,7 years,Nova Scotia,58500,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,82500,6.44,63550,18.76
646,University of Alberta,Master's,Personal and culinary services,Data Administrator,1,1 years,Nunavut,57500,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,76300,10.84,112300,-3.24
647,HEC Montryal,Bachelor's,Family and consumer Sciences,Geoscientist,2,2 years,Nunavut,74000,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,14500,1.16,91675,-2.36
648,Concordia University,Associate,"Communication, journalism and related programs",Postal and Courier Services Manager,10,10 years,Nova Scotia,66000,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,79900,-4.12,68125,-3.24
649,University of Waterloo,Associate,Military technologies and applied Sciences,Mathematician,8,8 years,Prince Edward Island,33500,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,51900,-1.48,132700,9.08
650,University of Western Ontario,Doctoral,Transportation and materials moving,Telecommunication Manager,1,1 years,Nova Scotia,37000,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,47100,1.16,48850,12.6
651,University of Guelph,Bachelor's,Psychology,Geoscientist,1,1 years,Nunavut,35500,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,14500,1.16,91675,-2.36
652,Vancouver Institute of Media Arts,Master's,"Aboriginal and foreign languages, literatures and linguistics",Senior Construction Manager,8,8 years,Newfoundland and Labrador,64500,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,52100,15.24,112825,16.12
653,"University de Guelph, Campus d'Alfred",Master's,"Liberal arts and sciences, general studies and humanities",Marketing researcher,2,2 years,Nova Scotia,71000,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,75100,-2.36,41875,-2.36
654,University of Western Ontario,Associate,Library Science,Civil Engineer,7,7 years,Saskatchewan,30500,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,41900,-2.36,56800,8.2
655,University of Guelph,Doctoral,Construction trades,Publiching Manager,3,3 years,Yukon,60500,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,83100,14.36,127300,16.12
656,Niagara College,Associate,Military technologies and applied Sciences,Database Analyst,3,3 years,Prince Edward Island,32000,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,6300,16.12,80950,-3.24
657,University du Quybec à Rimouski (UQAR),Bachelor's,Philosophy and religious studies,Insurance Agent,1,1 years,Quebec,53500,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,50500,16.12,40975,17.88
658,New Brunswick Bible Institute,Associate,Education,Data Administrator,10,10 years,Nunavut,59000,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,76300,10.84,112300,-3.24
659,"University de Guelph, Campus d'Alfred",Associate,Engineering technologies and engineering-related fields,Purchasing Manager,2,2 years,British Columbia,29500,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,26900,13.48,102325,5.56
660,Dalhousie University,Master's,Physical Sciences,Senior Service Manager,5,5 years,Prince Edward Island,36000,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,4700,17,120400,0.28
661,Victoria University,Master's,Natural resources and conservation,Program Administration Manager,3,3 years,Yukon,57000,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,62300,1.16,66325,17
662,University of Toronto,Bachelor's,Health professions and related programs,Economic Policy Researcher,3,3 years,Nunavut,67000,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,8500,-4.12,118600,0.28
663,New Brunswick Bible Institute,Doctoral,Construction trades,Health Care Manager,2,2 years,Northwest Territories,79000,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,89500,0.28,131800,-3.24
664,University of Guelph,Associate,Public administration and social service professions,Film and Video Camera Operator,9,9 years,Nunavut,29500,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,38700,10.84,94300,-4.12
