,UID,school,eduction_level,education_type,job_title,No_Year_Wor_Experience,YearsWork,work_location,tuition,Blockchain,Cloud_computing,Analytical_reasoning,Artificial_Intelligence,UX_design,Business_analysis,Affiliate_marketing,Sales,Scientific_computing,Video_production,Persuasion,Collaboration,Adaptability,Emotional_Intelligence,Microsoft_Office,Microsoft_Excel,Visual_Basic,Python,R,SQL,Java,Public_Speaking,Cert_Amazon_Web_Services_Essential_Training,Cert_Scrum_Basics,Cert_Time_Management_Fundamentals,Cert_Online_Marketing_Foundations,Cert_Project_Management_Foundations,Cert_Body_Language_for_Leaders,Cert_Excel_Essential_Training,Cert_AWS_Certified_Advanced_Networking,Cert_Programming_Foundations,Cert_Project_Management_Professional,Cert_Git_Essential_Training,Cert_Microsoft_Certified__Azure_Fundamentals,Cert_Developing_Executive_Presence,Cert_Online_Marketing_Foundations.1,Cert_Strategic_Thinking,Count,numbersofjob,jobgrowth,salary,salarygrowth
230,230,Saint Mary's University,Bachelor's,Military technologies and applied Sciences,Meteorologist,1,1 years,British Columbia,49000,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,93700,14.36,66775,66775
231,231,New Brunswick Bible Institute,Associate,"Dental, medical and veterinary residency programs",Marketing Manager,1,1 years,Ontario,52500,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,49300,15.24,83500,83500
232,232,University of Alberta,Bachelor's,Physical Sciences,Senior Service Manager,8,8 years,Nova Scotia,38000,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,19100,-3.24,127825,127825
233,233,Cygep de Saint-Hyacinthe,Associate,French language and literature/letters,Manufacturing Manager,1,1 years,Prince Edward Island,66500,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,49900,-1.48,76975,76975
234,234,York University,Bachelor's,Mathematics and statistics,Oceanographers,7,7 years,Saskatchewan,35000,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,87900,7.32,128275,128275
235,235,HEC Montryal,Bachelor's,"Liberal arts and sciences, general studies and humanities",Engineering Manager,6,6 years,Alberta,36000,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,37900,2.92,48025,48025
236,236,Victoria University,Bachelor's,Health professions and related programs,Community Manager,5,5 years,Alberta,75000,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,47100,13.48,143425,143425
237,237,University of Windsor,Doctoral,Biological and biomedical Sciences,Electrical Engineer,8,8 years,Northwest Territories,64500,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,6700,2.92,140050,140050
238,238,Victoria University,Associate,Mathematics and statistics,Railway Traffic Controller,8,8 years,Newfoundland and Labrador,71000,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,6300,-3.24,90325,90325
239,239,University du Quybec à Rimouski (UQAR),Master's,Social Sciences,Restaurant and Food Service Manager,10,10 years,Yukon,29000,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,15100,3.8,126250,126250
240,240,Cygep de Saint-Hyacinthe,Associate,Construction trades,Retail and Wholesale Trade Manager,5,5 years,Alberta,24500,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,16900,17.88,146125,146125
241,241,York University,Master's,Family and consumer Sciences,Restaurant and Food Service Manager,2,2 years,British Columbia,48000,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,31100,16.12,131500,131500
242,242,Cygep de la Gaspysie et des Îles,Bachelor's,Education,Marketing Manager,3,3 years,New Brunswick,20000,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,12300,10.84,149200,149200
243,243,"University de Guelph, Campus d'Alfred",Associate,Architecture and related services,Publiching Manager,6,6 years,British Columbia,57500,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,23300,6.44,78175,78175
244,244,Cygep de Saint-Hyacinthe,Bachelor's,Science technologies/technicians,Climatologists,3,3 years,British Columbia,30500,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,37300,7.32,44125,44125
245,245,Brock University,Associate,"Area, ethnic, cultural, gender, and group studies",Climatologists,8,8 years,Nova Scotia,26000,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,28100,10.84,95725,95725
246,246,University of Western Ontario,Master's,Library Science,Economic Policy Researcher,4,4 years,Manitoba,56000,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,57500,4.68,94225,94225
247,247,Queen's University,Master's,English language and literature/letters,Utilities Manager,2,2 years,New Brunswick,50000,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,39100,9.96,115975,115975
248,248,Huron University College,Doctoral,Architecture and related services,Publiching Manager,2,2 years,Prince Edward Island,30000,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,74900,5.56,67225,67225
249,249,York University,Associate,Engineering technologies and engineering-related fields,Climatologists,10,10 years,New Brunswick,41500,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,61700,-5,44200,44200
250,250,HEC Montryal,Doctoral,"Aboriginal and foreign languages, literatures and linguistics",Corporate Sales Manager,4,4 years,Manitoba,49500,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,82700,-4.12,103675,103675
251,251,University of Western Ontario,Bachelor's,English language and literature/letters,Natural Resources Manager,7,7 years,New Brunswick,27000,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,22300,19.64,136675,136675
252,252,New Brunswick Bible Institute,Master's,Engineering,Computer Programmer,4,4 years,Alberta,21500,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,33900,2.04,107200,107200
253,253,University of Waterloo,Associate,Health professions and related programs,Marine Traffic Regulators,6,6 years,New Brunswick,36500,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,16900,9.08,102325,102325
254,254,Brock University,Associate,English language and literature/letters,Business Development Officer,3,3 years,Yukon,57000,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,97500,-0.6,44575,44575
255,255,Brock University,Master's,Communications technologies/technicians and support services,Railway Traffic Controller,7,7 years,Ontario,63000,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,53700,17.88,145600,145600
256,256,Victoria University,Associate,Education,Purchasing Manager,4,4 years,New Brunswick,70000,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,24100,3.8,57400,57400
257,257,University of Alberta,Associate,English language and literature/letters,Accommodation Service Manager,3,3 years,Nunavut,30000,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,30100,16.12,110500,110500
258,258,Cygep de Saint-Hyacinthe,Associate,English language and literature/letters,Engineering Manager,8,8 years,Northwest Territories,67500,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,70100,5.56,49900,49900
259,259,University of Guelph,Master's,"Agriculture, agriculture operations and related Sciences",Real Estate Agent,8,8 years,New Brunswick,68000,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,63500,13.48,87400,87400
260,260,Dalhousie University,Bachelor's,"Liberal arts and sciences, general studies and humanities",Manufacturing Manager,2,2 years,New Brunswick,44000,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,50900,12.6,80200,80200
261,261,HEC Montryal,Master's,Multidisciplinary/interdisciplinary studies,Medical Radiation Technologist,6,6 years,Nunavut,54000,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,3900,-5,56950,56950
262,262,Wilfrid Laurier University,Associate,Education,Investment Manager,4,4 years,Nova Scotia,58500,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,76700,19.64,114100,114100
263,263,University de Sherbrooke,Bachelor's,Science technologies/technicians,Nutritionist,4,4 years,Northwest Territories,21000,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,90100,10.84,60475,60475
264,264,Concordia University,Bachelor's,"Military Science, leadership and operational art",Restaurant and Food Service Manager,5,5 years,Quebec,70500,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,15700,13.48,51100,51100
265,265,Vancouver Institute of Media Arts,Associate,"Agriculture, agriculture operations and related Sciences",Meteorologist,6,6 years,Northwest Territories,20000,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,70700,3.8,51850,51850
266,266,Cygep de la Gaspysie et des Îles,Master's,Precision production,Home Building and Renovation Manager,3,3 years,Ontario,53500,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,96900,8.2,110725,110725
267,267,University de Sherbrooke,Associate,History,Construction Manager,10,10 years,New Brunswick,67500,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,47100,14.36,79075,79075
268,268,Queen's University,Associate,Health professions and related programs,Data Administrator,4,4 years,Nova Scotia,51500,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,57300,4.68,55600,55600
269,269,Vancouver Institute of Media Arts,Doctoral,Psychology,Climatologists,5,5 years,Ontario,59500,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,93700,5.56,53875,53875
270,270,"University de Guelph, Campus d'Alfred",Master's,Theology and religious vocations,Terminologist,5,5 years,Nova Scotia,58000,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,30500,11.72,128500,128500
271,271,College of the New Caledonia,Bachelor's,History,Library Manager,6,6 years,Manitoba,30500,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,72900,14.36,113800,113800
272,272,HEC Montryal,Associate,Construction trades,Statistician,10,10 years,Northwest Territories,78500,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,37500,-3.24,124150,124150
273,273,University du Quybec à Rimouski (UQAR),Master's,Public administration and social service professions,Postal and Courier Services Manager,7,7 years,Northwest Territories,43500,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,12900,18.76,95800,95800
274,274,Simon Fraser University,Master's,"Agriculture, agriculture operations and related Sciences",Pharmacist,6,6 years,New Brunswick,39000,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,23900,11.72,41500,41500
275,275,Niagara College,Doctoral,Architecture and related services,Insurance Manager,2,2 years,New Brunswick,58500,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,83900,8.2,146650,146650
276,276,Cygep de la Gaspysie et des Îles,Doctoral,Mechanic and repair technologies/technicians,Insurance Manager,5,5 years,Ontario,35500,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,43500,-1.48,146950,146950
277,277,Brescia University College,Bachelor's,Physical Sciences,Utilities Manager,3,3 years,Yukon,44000,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,29300,0.28,93625,93625
278,278,Queen's University,Master's,"Agriculture, agriculture operations and related Sciences",Purchasing Manager,2,2 years,New Brunswick,41000,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,24100,3.8,57400,57400
279,279,Simon Fraser University,Master's,English language and literature/letters,Medical Radiation Technologist,9,9 years,Saskatchewan,27500,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,43700,0.28,45550,45550
280,280,University du Quybec à Rimouski (UQAR),Master's,Family and consumer Sciences,Interactive Media Developer,4,4 years,Prince Edward Island,36500,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,65500,-3.24,134800,134800
281,281,Brescia University College,Master's,Construction trades,Natural Resources Manager,1,1 years,Newfoundland and Labrador,43000,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,6500,17,42550,42550
282,282,Simon Fraser University,Master's,Social Sciences,Insurance Manager,2,2 years,Nunavut,34000,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,30300,11.72,118675,118675
283,283,Ryerson University,Doctoral,Education,Senior Government Official,8,8 years,Prince Edward Island,64500,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,36700,-5,75325,75325
284,284,University of Waterloo,Doctoral,"Military Science, leadership and operational art",Marketing researcher,9,9 years,Manitoba,61500,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,87700,-5,145075,145075
285,285,University of Alberta,Bachelor's,"Liberal arts and sciences, general studies and humanities",Library Manager,5,5 years,Prince Edward Island,38000,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,66100,11.72,95125,95125
286,286,Brescia University College,Associate,Legal professions and studies,Interactive Media Developer,7,7 years,Saskatchewan,53000,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,76700,13.48,43075,43075
287,287,Concordia University,Bachelor's,"Aboriginal and foreign languages, literatures and linguistics",Interactive Media Developer,9,9 years,British Columbia,38000,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,22700,-3.24,67675,67675
288,288,Niagara College,Master's,Public administration and social service professions,Library Manager,8,8 years,Saskatchewan,42000,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,6100,9.08,101050,101050
289,289,University of Guelph,Doctoral,Library Science,Electrical Engineer,3,3 years,Manitoba,57000,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,24700,13.48,113650,113650
290,290,Brescia University College,Master's,Multidisciplinary/interdisciplinary studies,Human Resources Manager,2,2 years,Nova Scotia,60000,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,50500,7.32,140950,140950
291,291,University du Quybec à Rimouski (UQAR),Master's,"Aboriginal and foreign languages, literatures and linguistics",Financial Sales Representative,10,10 years,Prince Edward Island,58500,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,57900,-0.6,86200,86200
292,292,University de Montryal,Master's,Social Sciences,Restaurant and Food Service Manager,8,8 years,Newfoundland and Labrador,38000,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,69500,3.8,79675,79675
293,293,University of Windsor,Master's,Psychology,Purchasing Manager,10,10 years,Ontario,51500,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,23100,-3.24,71350,71350
294,294,University de Montryal,Associate,Visual and performing arts,Climatologists,6,6 years,Northwest Territories,27500,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,57300,3.8,124600,124600
295,295,Dalhousie University,Doctoral,Architecture and related services,Financial Sales Representative,10,10 years,Prince Edward Island,51000,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,57900,-0.6,86200,86200
296,296,Simon Fraser University,Associate,Family and consumer Sciences,Medical Radiation Technologist,2,2 years,Saskatchewan,29500,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,43700,0.28,45550,45550
297,297,College of the New Caledonia,Bachelor's,Psychology,Data Administrator,6,6 years,Nova Scotia,72500,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,57300,4.68,55600,55600
298,298,Saint Mary's University,Master's,Library Science,Human Resources Manager,2,2 years,Prince Edward Island,76000,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,47700,4.68,54625,54625
299,299,Simon Fraser University,Associate,Philosophy and religious studies,Film and Video Camera Operator,5,5 years,Yukon,66500,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,16700,14.36,46375,46375
300,300,University of Waterloo,Master's,Construction trades,Human Resources Manager,7,7 years,Saskatchewan,62000,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,84100,2.92,68950,68950
301,301,University of Western Ontario,Bachelor's,Multidisciplinary/interdisciplinary studies,Senior Government Official,2,2 years,Newfoundland and Labrador,30000,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,30100,19.64,121525,121525
302,302,New Brunswick Bible Institute,Master's,Public administration and social service professions,Senior Government Official,7,7 years,Prince Edward Island,54000,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,36700,-5,75325,75325
303,303,University du Quybec à Rimouski (UQAR),Doctoral,Visual and performing arts,Railway Traffic Controller,9,9 years,Saskatchewan,36000,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,20100,-1.48,138475,138475
304,304,New Brunswick Bible Institute,Associate,"Military Science, leadership and operational art",Accommodation Service Manager,9,9 years,Alberta,39000,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,92100,10.84,126250,126250
305,305,University of Toronto,Associate,Visual and performing arts,Real Estate Agent,7,7 years,Saskatchewan,62500,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,63700,8.2,120925,120925
306,306,Victoria University,Doctoral,Mathematics and statistics,Terminologist,3,3 years,Northwest Territories,43500,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,11700,-4.12,139675,139675
307,307,University du Quybec à Rimouski (UQAR),Doctoral,Social Sciences,Financial Sales Representative,7,7 years,Ontario,62000,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,71900,4.68,70825,70825
308,308,Cygep de Saint-Hyacinthe,Doctoral,Construction trades,Climatologists,4,4 years,Prince Edward Island,41500,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,31500,-2.36,122050,122050
309,309,Simon Fraser University,Bachelor's,Architecture and related services,Restaurant and Food Service Manager,7,7 years,Alberta,54500,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,71300,4.68,135325,135325
310,310,HEC Montryal,Master's,Construction trades,Engineering Manager,9,9 years,Alberta,35500,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,37900,2.92,48025,48025
311,311,New Brunswick Bible Institute,Master's,Family and consumer Sciences,Statistician,1,1 years,Saskatchewan,36000,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,20900,-3.24,125725,125725
312,312,Cygep de Saint-Laurent,Associate,Natural resources and conservation,Information Systems Analyst,4,4 years,Northwest Territories,59000,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,13300,11.72,49450,49450
313,313,Carleton University,Associate,Mathematics and statistics,Translator,2,2 years,Saskatchewan,79500,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,14300,-5,79225,79225
314,314,Huron University College,Associate,Mathematics and statistics,Employment Counsellor,7,7 years,Nunavut,48000,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,46100,9.08,107800,107800
315,315,University de Montryal,Master's,Engineering,Mathematician,6,6 years,Northwest Territories,34500,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,13100,13.48,135625,135625
316,316,York University,Doctoral,Family and consumer Sciences,Natural Resources Manager,6,6 years,New Brunswick,57000,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,22300,19.64,136675,136675
317,317,Cygep de la Gaspysie et des Îles,Bachelor's,French language and literature/letters,Computer Programmer,5,5 years,Northwest Territories,34500,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,19700,-5,100450,100450
318,318,Ryerson University,Master's,Multidisciplinary/interdisciplinary studies,Human Resources Manager,8,8 years,Nova Scotia,43000,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,50500,7.32,140950,140950
319,319,Victoria University,Associate,"Dental, medical and veterinary residency programs",Publiching Manager,7,7 years,New Brunswick,31000,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,62700,14.36,53425,53425
320,320,Cygep de la Gaspysie et des Îles,Bachelor's,"Dental, medical and veterinary residency programs",Financial Manager,9,9 years,Newfoundland and Labrador,63000,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,9900,12.6,130675,130675
321,321,Brock University,Master's,Visual and performing arts,Insurance Manager,6,6 years,Newfoundland and Labrador,43500,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,40700,17,121750,121750
322,322,College of the New Caledonia,Associate,Construction trades,Program Administration Manager,1,1 years,New Brunswick,23500,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,47700,17,79000,79000
323,323,Niagara College,Associate,Transportation and materials moving,Financial Manager,1,1 years,Manitoba,39000,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,4900,11.72,137500,137500
