UID,school,eduction_level,education_type,job_title,No_Year_Wor_Experience,YearsWork,work_location,tuition,Blockchain,Cloud_computing,Analytical_reasoning,Artificial_Intelligence,UX_design,Business_analysis,Affiliate_marketing,Sales,Scientific_computing,Video_production,Persuasion,Collaboration,Adaptability,Emotional_Intelligence,Microsoft_Office,Microsoft_Excel,Visual_Basic,Python,R,SQL,Java,Public_Speaking,Cert_Amazon_Web_Services_Essential_Training,Cert_Scrum_Basics,Cert_Time_Management_Fundamentals,Cert_Online_Marketing_Foundations,Cert_Project_Management_Foundations,Cert_Body_Language_for_Leaders,Cert_Excel_Essential_Training,Cert_AWS_Certified_Advanced_Networking,Cert_Programming_Foundations,Cert_Project_Management_Professional,Cert_Git_Essential_Training,Cert_Microsoft_Certified__Azure_Fundamentals,Cert_Developing_Executive_Presence,Cert_Online_Marketing_Foundations.1,Cert_Strategic_Thinking,Count
378,Cygep de Saint-Laurent,Doctoral,Theology and religious vocations,Natural Resources Manager,8,8 years,Northwest Territories,74000,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1
379,York University,Master's,Legal professions and studies,Electrical Engineer,6,6 years,Saskatchewan,70000,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1
380,Ryerson University,Associate,History,Purchasing Manager,2,2 years,Nova Scotia,46500,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1
381,University of Alberta,Associate,Library Science,Mechanical Engineer,9,9 years,Northwest Territories,56500,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
382,Vancouver Institute of Media Arts,Associate,Psychology,Psychologist,9,9 years,Nova Scotia,39500,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
383,Brescia University College,Bachelor's,Military technologies and applied Sciences,Insurance Agent,2,2 years,Ontario,78000,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1
384,Brock University,Master's,Psychology,Facility Operation and Maintenance Manager,1,1 years,Quebec,76000,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
385,Cygep de Saint-Hyacinthe,Bachelor's,Transportation and materials moving,Data Administrator,2,2 years,British Columbia,21000,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1
386,New Brunswick Bible Institute,Master's,Mathematics and statistics,Corporate Sales Manager,1,1 years,Yukon,63000,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
387,University du Quybec à Rimouski (UQAR),Doctoral,Visual and performing arts,Community Manager,7,7 years,Alberta,53500,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1
388,University of Waterloo,Associate,Social Sciences,Dietitian,1,1 years,Manitoba,21500,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
389,Native Education College,Master's,History,Accommodation Service Manager,5,5 years,Yukon,52500,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1
390,Brock University,Bachelor's,Library Science,Psychologist,4,4 years,Alberta,37000,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
391,Victoria University,Master's,Health professions and related programs,Facility Operation and Maintenance Manager,2,2 years,Prince Edward Island,64500,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1
392,Cygep de Saint-Laurent,Associate,Mechanic and repair technologies/technicians,Purchasing Manager,4,4 years,Alberta,45500,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1
393,Niagara College,Master's,Engineering technologies and engineering-related fields,Restaurant and Food Service Manager,2,2 years,Prince Edward Island,74000,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
394,Dalhousie University,Master's,Natural resources and conservation,Purchasing Manager,3,3 years,Newfoundland and Labrador,40000,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1
395,Wilfrid Laurier University,Master's,Computer and information Sciences and support services,Manufacturing Manager,1,1 years,Saskatchewan,39500,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1
396,Cygep de la Gaspysie et des Îles,Bachelor's,Engineering technologies and engineering-related fields,Educational Counsellor,9,9 years,Northwest Territories,76000,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
397,College of the New Caledonia,Master's,Engineering technologies and engineering-related fields,Marine Traffic Regulators,1,1 years,British Columbia,61500,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1
398,McMaster University,Doctoral,Computer and information Sciences and support services,Accommodation Service Manager,2,2 years,Prince Edward Island,45500,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1
399,University of Alberta,Master's,Personal and culinary services,Terminologist,1,1 years,Alberta,56000,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
400,Vancouver Island University,Bachelor's,Engineering technologies and engineering-related fields,Program Administration Manager,4,4 years,Northwest Territories,63000,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1
401,York University,Associate,Mathematics and statistics,Meteorologist,8,8 years,Nunavut,32000,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1
402,Simon Fraser University,Associate,Family and consumer Sciences,Mathematician,2,2 years,Northwest Territories,31500,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1
403,Huron University College,Bachelor's,Mechanic and repair technologies/technicians,Telecommunication Manager,5,5 years,Prince Edward Island,37000,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1
404,University de Montryal,Associate,"Aboriginal and foreign languages, literatures and linguistics",Marketing researcher,2,2 years,British Columbia,33000,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
405,New Brunswick Bible Institute,Master's,Engineering technologies and engineering-related fields,Transportation Manager,7,7 years,Quebec,26000,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
406,Brock University,Doctoral,Engineering technologies and engineering-related fields,Financial Manager,3,3 years,New Brunswick,61000,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1
407,Ryerson University,Bachelor's,Family and consumer Sciences,Economic Policy Researcher,2,2 years,Prince Edward Island,27500,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1
408,Victoria University,Master's,Transportation and materials moving,Financial Sales Representative,10,10 years,British Columbia,57000,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1
409,University of Alberta,Master's,"Military Science, leadership and operational art",Data Administrator,7,7 years,New Brunswick,38500,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1
410,Huron University College,Bachelor's,Theology and religious vocations,Database Analyst,2,2 years,Northwest Territories,63000,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1
411,Native Education College,Bachelor's,Legal professions and studies,Mathematician,7,7 years,Saskatchewan,48500,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1
412,HEC Montryal,Doctoral,Mechanic and repair technologies/technicians,Restaurant and Food Service Manager,6,6 years,Nunavut,56500,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1
413,Brock University,Associate,Public administration and social service professions,Translator,8,8 years,Alberta,72500,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
414,Cygep de Saint-Laurent,Master's,Education,Senior Construction Manager,2,2 years,Nova Scotia,76000,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
415,University de Montryal,Associate,French language and literature/letters,Psychologist,4,4 years,Prince Edward Island,74500,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1
416,University of Toronto,Doctoral,"Military Science, leadership and operational art",Information Systems Analyst,8,8 years,Alberta,56000,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
417,Cygep de la Gaspysie et des Îles,Master's,Engineering technologies and engineering-related fields,Meteorologist,1,1 years,Quebec,63000,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1
418,University of Windsor,Master's,"Liberal arts and sciences, general studies and humanities",Mechanical Engineer,8,8 years,Newfoundland and Labrador,62000,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1
419,University of Alberta,Doctoral,French language and literature/letters,Natural Resources Manager,10,10 years,Yukon,69000,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
420,College of the New Caledonia,Doctoral,"Business, management, marketing and related support services",Library Manager,1,1 years,Saskatchewan,72500,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1
421,Ryerson University,Bachelor's,Mathematics and statistics,Marketing researcher,10,10 years,Prince Edward Island,48500,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1
422,Dalhousie University,Bachelor's,Personal and culinary services,Civil Engineer,3,3 years,Yukon,77000,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
423,University du Quybec à Rimouski (UQAR),Associate,"Military Science, leadership and operational art",Railway Traffic Controller,3,3 years,Yukon,47000,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1
424,University de Montryal,Master's,Computer and information Sciences and support services,Database Analyst,1,1 years,Alberta,66000,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
425,University de Sherbrooke,Master's,Education,Facility Operation and Maintenance Manager,1,1 years,Manitoba,35500,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1
426,Cygep de Saint-Hyacinthe,Master's,Multidisciplinary/interdisciplinary studies,Insurance Agent,6,6 years,Newfoundland and Labrador,38000,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1
427,McMaster University,Associate,Library Science,Civil Engineer,2,2 years,Ontario,20000,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1
428,University of Guelph,Doctoral,Science technologies/technicians,Financial Manager,4,4 years,Yukon,33500,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1
429,Vancouver Island University,Associate,Security and protective services,Construction Manager,2,2 years,Prince Edward Island,43000,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1
430,University of Toronto,Associate,Health professions and related programs,Telecommunication Manager,6,6 years,Ontario,25500,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1
431,Saint Mary's University,Bachelor's,"Parks, recreation, leisure and fitness studies",Manufacturing Manager,1,1 years,Manitoba,51000,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1
432,New Brunswick Bible Institute,Doctoral,Engineering technologies and engineering-related fields,Telecommunication Manager,5,5 years,British Columbia,64500,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1
433,Brescia University College,Bachelor's,"Dental, medical and veterinary residency programs",Program Administration Manager,6,6 years,Yukon,20500,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1
434,University de Sherbrooke,Associate,Personal and culinary services,Senior Service Manager,7,7 years,Saskatchewan,26000,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1
435,Concordia University,Master's,Education,Dietitian,6,6 years,Newfoundland and Labrador,73000,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
436,Native Education College,Master's,Engineering technologies and engineering-related fields,Database Analyst,6,6 years,Nunavut,31000,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
437,University of Toronto,Associate,Multidisciplinary/interdisciplinary studies,Film and Video Camera Operator,8,8 years,Nova Scotia,47500,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
438,Queen's University,Doctoral,Physical Sciences,Purchasing Manager,9,9 years,Prince Edward Island,26500,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1
439,University of Toronto,Master's,Science technologies/technicians,Nutritionist,5,5 years,Northwest Territories,30500,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1
440,Carleton University,Master's,English language and literature/letters,Investment Manager,3,3 years,Alberta,51000,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1
441,Vancouver Island University,Master's,"Liberal arts and sciences, general studies and humanities",Financial Manager,7,7 years,Newfoundland and Labrador,25000,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1
442,University of Guelph,Master's,Architecture and related services,Purchasing Manager,8,8 years,Yukon,20500,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1
443,Cygep de Saint-Hyacinthe,Doctoral,Engineering technologies and engineering-related fields,Senior Communication Manager,1,1 years,Alberta,27500,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1
444,"University de Guelph, Campus d'Alfred",Associate,Theology and religious vocations,Educational Counsellor,10,10 years,Newfoundland and Labrador,74500,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
445,Simon Fraser University,Doctoral,"Liberal arts and sciences, general studies and humanities",Natural Resources Manager,4,4 years,Ontario,21000,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1
446,Ryerson University,Bachelor's,Architecture and related services,Senior Construction Manager,10,10 years,Alberta,53500,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1
447,Huron University College,Associate,Military technologies and applied Sciences,Economic Policy Researcher,4,4 years,Newfoundland and Labrador,80000,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1
448,University of Western Ontario,Doctoral,"Liberal arts and sciences, general studies and humanities",Real Estate Agent,6,6 years,New Brunswick,46000,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
449,Wilfrid Laurier University,Master's,Visual and performing arts,Pharmacist,4,4 years,Quebec,57500,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1
450,University of Waterloo,Associate,Natural resources and conservation,Senior Service Manager,8,8 years,Saskatchewan,36500,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1
451,Vancouver Institute of Media Arts,Bachelor's,"Parks, recreation, leisure and fitness studies",Economic Policy Researcher,3,3 years,Northwest Territories,68500,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1
452,Queen's University,Doctoral,English language and literature/letters,Senior Communication Manager,9,9 years,Nunavut,56000,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1
453,Wilfrid Laurier University,Associate,"Communication, journalism and related programs",Interactive Media Developer,1,1 years,Nova Scotia,54500,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1
454,New Brunswick Bible Institute,Bachelor's,"Business, management, marketing and related support services",Marketing Manager,7,7 years,Alberta,36500,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1
455,Native Education College,Associate,"Business, management, marketing and related support services",Meteorologist,6,6 years,Alberta,58500,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
456,Simon Fraser University,Doctoral,Family and consumer Sciences,Investment Manager,10,10 years,Nova Scotia,31000,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1
457,University of Waterloo,Bachelor's,Library Science,Educational Counsellor,1,1 years,British Columbia,37000,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1
458,Cygep de Saint-Hyacinthe,Bachelor's,Biological and biomedical Sciences,Accommodation Service Manager,4,4 years,Quebec,77500,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1
459,College of the New Caledonia,Bachelor's,Social Sciences,Database Analyst,5,5 years,Quebec,30000,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1
460,Simon Fraser University,Master's,"Dental, medical and veterinary residency programs",Statistician,9,9 years,Northwest Territories,23500,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
461,University of Western Ontario,Master's,"Agriculture, agriculture operations and related Sciences",Postal and Courier Services Manager,5,5 years,Saskatchewan,42500,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1
462,New Brunswick Bible Institute,Associate,History,Purchasing Manager,7,7 years,Nunavut,70500,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1
463,University of Guelph,Bachelor's,Philosophy and religious studies,Insurance Manager,5,5 years,New Brunswick,46000,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1
464,Native Education College,Doctoral,Engineering technologies and engineering-related fields,Real Estate Agent,3,3 years,Saskatchewan,33500,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
465,Wilfrid Laurier University,Master's,"Business, management, marketing and related support services",Construction Manager,4,4 years,Prince Edward Island,22000,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1
466,Huron University College,Master's,Computer and information Sciences and support services,Transportation Manager,5,5 years,Nunavut,69000,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
467,University of Alberta,Bachelor's,Physical Sciences,Nutritionist,6,6 years,Nova Scotia,42500,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1
468,York University,Associate,"Parks, recreation, leisure and fitness studies",Dietitian,8,8 years,Ontario,35000,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1
469,University de Montryal,Associate,Architecture and related services,Utilities Manager,2,2 years,Newfoundland and Labrador,42000,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1
470,Simon Fraser University,Associate,Communications technologies/technicians and support services,Climatologists,1,1 years,Manitoba,64000,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1
471,Simon Fraser University,Bachelor's,Security and protective services,Interpreters,9,9 years,Quebec,23500,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
472,University of Waterloo,Associate,Mechanic and repair technologies/technicians,Information Systems Analyst,3,3 years,Quebec,78500,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1
473,HEC Montryal,Master's,"Dental, medical and veterinary residency programs",Marketing researcher,2,2 years,Manitoba,29500,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1
474,Ryerson University,Doctoral,Engineering technologies and engineering-related fields,Psychologist,3,3 years,Quebec,59000,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1
475,Native Education College,Bachelor's,Science technologies/technicians,Senior Service Manager,7,7 years,Nova Scotia,52500,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
476,Brescia University College,Bachelor's,History,Retail and Wholesale Trade Manager,2,2 years,Nova Scotia,32500,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1
477,University of Western Ontario,Associate,Visual and performing arts,Restaurant and Food Service Manager,4,4 years,Prince Edward Island,53000,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1
478,Native Education College,Bachelor's,"Communication, journalism and related programs",Facility Operation and Maintenance Manager,5,5 years,Manitoba,33000,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
479,University du Quybec à Rimouski (UQAR),Associate,Mechanic and repair technologies/technicians,Financial Sales Representative,4,4 years,New Brunswick,42500,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
480,Brescia University College,Doctoral,Public administration and social service professions,Insurance Manager,4,4 years,Prince Edward Island,42000,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
481,Carleton University,Associate,Public administration and social service professions,Interpreters,5,5 years,Quebec,38000,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1
482,University du Quybec à Rimouski (UQAR),Bachelor's,Architecture and related services,Oceanographers,4,4 years,Nova Scotia,79500,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1
